,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300031706, Cr2(PO4)3, LiCr2(PO4)3, mp-540211, mp-31652",0.806264973,1.965882353,0.074718653,0,11.11764706,2.607314971,7.625613451,0,0,4376.768514,0.003424557
"mp-300031709, Cr9(PO4)8, Li6Cr9(PO4)8, mp-31678, mp-31709",0.918531041,2.342585034,0.078330759,0,12.08163265,2.35860329,8.35194419,0,0,4049.556862,0.004982192
"mp-300031712, Cr(PO3)3, LiCr(PO3)3, mp-764853, mp-31712",0.882527186,2.015384615,0.083833279,0,10.84615385,2.894947678,7.407999641,0,0,4292.987431,0.005024552
"mp-300031714, Cr(PO3)4, LiCr(PO3)4, mp-704231, mp-31714",0.717478247,1.917647059,0.069815086,0,10.58823529,3.362378564,7.213410745,0,0,4377.084616,0.003199813
"mp-300031728, CrPO4, LiCrPO4, mp-31707, mp-31728",1.060610669,2.245555556,0.092344921,0,11.83333333,2.274759907,8.164859,0,0,4133.838651,0.005995923
"mp-300031730, Cr2P5O16, LiCr2P5O16, mp-31653, mp-31731",0.747855208,2.003188406,0.070605049,0,10.91304348,2.746652436,7.461614638,0,0,4313.629147,0.00478368
"mp-300031743, Cr(PO3)4, LiCr(PO3)4, mp-31745, mp-31743",0.642632557,1.917647059,0.062532136,0,10.58823529,3.362378564,7.213410745,0,0,4377.084616,0.005732032
"mp-300031768, Fe5O8, LiFe5O8, mp-543082, mp-31768",1.260627932,2.723461538,0.087034747,0,14.92307692,5.816530769,15.66231538,0,0.405896692,5722.940929,0.007700944
"mp-300031773, Fe2(MoO4)3, Li2Fe2(MoO4)3, mp-31766, mp-31773",0.893058649,2.798039216,0.057087689,0,16.11764706,4.236646975,11.59927059,0,0.08277109,4376.008301,0.003862675
"mp-300031777, FePO4, LiFePO4, mp-540341, mp-31777",0.929808409,1.846111111,0.07873829,0,12.16666667,2.341004086,8.378686778,0,0.117259044,4133.82112,0.010063247
"mp-300031784, Fe(PO3)4, LiFe(PO3)4, mp-585418, mp-31784",0.666794136,1.776666667,0.064170205,0,10.70588235,3.269535749,7.288879373,0,0.041385545,4377.078428,0.008683787
"mp-300031785, FeP2O7, LiFeP2O7, mp-31793, mp-31785",0.892730065,1.747666667,0.082123275,0,11.2,2.51550372,7.6596108,0,0.070355427,4340.452859,0.037785129
"mp-300031797, Fe3(PO4)4, Li3Fe3(PO4)4, mp-31810, mp-31797",0.829556899,1.726231884,0.073902053,0,11.56521739,2.389238687,7.933629681,0,0.091767948,4313.381786,0.007391853
"mp-300031800, Fe2P3O10, LiFe2P3O10, mp-540498, mp-31800",0.954749091,1.898666667,0.083362622,0,11.8,1.883559803,8.102339689,0,0.093807236,4134.00375,0.012785119
"mp-300031806, Fe3(P3O10)2, LiFe3(P3O10)2, mp-31877, mp-31806",0.737441163,1.805402299,0.067176234,0,11.31034483,2.343589944,7.739834161,0,0.072781476,4276.420232,0.005328958
"mp-300031808, Fe(PO3)4, LiFe(PO3)4, mp-540197, mp-31808",0.766934093,1.776666667,0.073807365,0,10.70588235,3.269535749,7.288879373,0,0.041385545,4377.078428,0.009987929
"mp-300031812, Fe5(P3O11)2, Li4Fe5(P3O11)2, mp-31872, mp-31812",0.876505372,1.87,0.075255363,0,12,2.06066701,8.253074465,0,0.106599131,4133.904134,0.00524624
"mp-300031824, Fe(PO3)4, LiFe(PO3)4, mp-540072, mp-31824",0.756375068,1.776666667,0.072791197,0,10.70588235,3.269535749,7.288879373,0,0.041385545,4377.078428,0.009850417
"mp-300031828, Fe3(PO4)4, Li3Fe3(PO4)4, mp-31829, mp-31828",0.740502209,1.726231884,0.065968511,0,11.56521739,2.389238687,7.933629681,0,0.091767948,4313.381786,0.006598322
