,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.5343353958389396,4133.594838984837,3.1591230460285664,4.564444444444447,1.0,0.9083130386437804,9.601097330974607,0.0,0.06949562388888708,17.41914497893,0.29475316727183576,0.24214304403036396,0.17185185185185184
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",0.5346006662105892,4133.047014924678,3.7078573241888,1.960555555555556,0.0,0.9300510790043156,11.331154474650633,0.0,0.023462587708333867,13.773520847742956,0.2842619150430212,0.2504738595562173,0.18055555555555555
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.5882503293922842,3719.7401314132726,3.016087157962879,4.251333333333334,1.0,1.0028582567691178,26.398653164297773,0.0,0.2211043293333325,15.240589081644965,0.2776329347989258,0.1939165685431638,0.2240000000000001
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",0.4569485735874593,3817.915276335221,6.793979737722673,1.0964102564102565,0.0,1.1947095851861531,5.708685148749024,0.0,0.03727494225961614,23.08729111820738,0.24390357240231514,0.2447917791136592,0.1658974358974359
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",0.4561383185830032,6199.706538533296,3.721442124519189,3.6566666666666654,0.0,0.9750601422277164,26.666666666666664,0.0,0.14459902000000113,34.166666666666664,0.37735524192474895,0.2245,0.2733333333333333
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",0.5287702917927124,4134.95352488377,5.556136420264424,1.896296296296296,0.0,0.8461478211283806,10.881075554035089,0.0,0.059277114444441274,14.334146785224318,0.28524994004059234,0.2717854747908177,0.15296296296296294
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",0.5132812858453062,4133.808144079476,5.168142676775903,3.4886111111111107,0.0,0.9891678555114121,26.337405920425873,0.0,0.1106411443749984,21.55122379155253,0.31129127274844104,0.2683028824451855,0.1811111111111111
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",0.482746244692837,4133.585813469367,5.131680720706706,3.5638888888888887,0.0,0.9929222681873708,26.058427939280342,0.0,0.14578880954860907,21.55122379155253,0.31141263005956105,0.2626281021934408,0.1827777777777778
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",0.4537423544482063,3817.913876944414,6.809095939055432,1.1292307692307693,0.0,1.1892173521525728,5.708685148749024,0.0,0.0781254961057698,22.68386051672297,0.2435261232890027,0.2443429542465689,0.1658974358974359
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",0.5305315845082675,4292.990501751799,3.0253259451056884,1.8079487179487181,0.0,0.8138744661746534,3.89355407225962,0.0,0.0192201557692302,6.62739914754506,0.31094745444085914,0.25561247429482314,0.1682051282051282
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",0.5260251778606109,4376.837218818916,2.957058292750959,1.985490196078432,0.0,0.8063077156064608,8.453186555218796,0.0,0.016002415294117608,11.125511621617804,0.265481243588735,0.26187620890208285,0.16137254901960785
