,ShannonRadii,AtomicVolum wmean,Electronegativity wmean,metalloid,HeatFusion wmean,lin,q6,Crystal System,strainlatticemean,total_magnetization
"mp-300766728, V(SiO3)2, LiV(SiO3)2, mp-767887, mp-766728",0.5295998859355874,4133.594838984837,0.9655555555555554,1.0,4.564444444444447,3.2028700115745963,0.3120966469946071,3.0,-3.2566542055671256e-14,7.999999400000001
"mp-300766730, Cr3(CoO6)2, Li2Cr3(CoO6)2, mp-773919, mp-772468",0.5979160541954307,4375.777186895309,0.9807843137254902,0.0,1.9223529411764704,2.369139519782692,0.2393191391268376,2.0,-5.339048373779557e-08,31.999929
"mp-300766739, VOF3, LiVOF3, mp-764398, mp-765521",0.7979287030036635,4960.724517779746,1.1340000000000001,0.0,1.499,3.769114411853436,0.3511138598221372,4.0,-4.50602518261197e-13,0.0
"mp-300766750, MnCu(PO4)2, Li2MnCu(PO4)2, mp-775025, mp-766750",0.5205051738320705,3100.376004623875,0.7364583333333332,0.0,1.3614583333333332,2.4990480458854707,0.23422261740032396,1.0,-0.000184580444882639,7.9289773
"mp-300766766, FePO4, LiFe2(PO4)2, mp-765990, mp-767093",0.623441067779259,4133.821119596877,0.9877777777777776,0.0,1.8461111111111108,2.6149246597748395,0.2830608927263492,1.0,-0.022091334820493042,19.9999995
"mp-300766777, FePO4, LiFePO4, mp-767830, mp-766777",0.6548537217003075,4133.821119596877,0.9877777777777776,0.0,1.8461111111111108,2.982919337414021,0.2366617569791485,3.0,-7.046215462954326e-14,40.0000006
"mp-300766795, CoBO3, LiCoBO3, mp-766751, mp-766795",0.5661383764357938,3719.6590084944396,0.9493333333333333,1.0,4.470666666666667,2.765755936644692,0.20805492538971687,1.0,-0.09994952227252857,16.0000002
"mp-300766846, CoSn(PO4)2, Li2CoSn(PO4)2, mp-863848, mp-766846",0.5463134340017137,3100.666004614451,0.7445833333333332,0.0,1.2956249999999998,2.8031383665970147,0.2745542548789755,1.0,-2.580396194288663e-05,6.0000003
"mp-300766850, Mn3V2Co3O16, Li4Mn3V2Co3O16, mp-770130, mp-766850",0.39877348134788176,3099.7132307887346,0.7144791666666666,0.0,1.3942708333333331,4.017902994104257,0.3279648057173768,2.0,-0.1033907437974282,10.000001
"mp-300766859, V3(OF3)2, LiV3(OF3)2, mp-764432, mp-766859",0.6155948455882497,4510.169103988284,1.0803030303030303,0.0,2.014242424242424,3.0531170640574867,0.31047528971769817,2.0,-0.010585689587111998,10.0000001
"mp-300766972, Mn2O2F3, LiMn2O2F3, mp-766920, mp-766972",0.4821874233358783,4429.221211614085,1.0438095238095235,0.0,1.286904761904762,3.113187987744116,0.3113363671640077,2.0,-0.11289796927637495,13.999999800000005
"mp-300766992, VCrP2(O4F)2, LiVCrP2(O4F)2, mp-765139, mp-765118",0.5144787935193365,2657.473722084293,0.6164285714285713,0.0,1.1692857142857145,2.875460332185846,0.2564151593353121,2.0,-0.055830887792743,2.9999999
"mp-300767040, MnCu3(PO4)4, Li4MnCu3(PO4)4, mp-775168, mp-767040",0.5139100869027499,3100.3720175141493,0.7401041666666666,0.0,1.3686458333333331,2.7026629231392985,0.2458991801169797,1.0,-3.621130646950613e-05,3.9947748
