,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300031743, Cr(PO3)4, LiCr(PO3)4, mp-31745, mp-31743",0.642632557,1.917647059,0.062532136,0.0,10.58823529,3.3623785639999997,7.213410745,0.0,0.0,4377.084616,0.005732032
"mp-300031768, Fe5O8, LiFe5O8, mp-543082, mp-31768",1.260627932,2.723461538,0.087034747,0.0,14.92307692,5.816530769,15.66231538,0.0,0.405896692,5722.940929,0.007700944
"mp-300031773, Fe2(MoO4)3, Li2Fe2(MoO4)3, mp-31766, mp-31773",0.8930586490000001,2.7980392160000003,0.057087689000000004,0.0,16.11764706,4.236646975,11.59927059,0.0,0.08277109,4376.008301,0.003862675
"mp-300031777, FePO4, LiFePO4, mp-540341, mp-31777",0.9298084090000001,1.846111111,0.07873829,0.0,12.16666667,2.341004086,8.378686777999999,0.0,0.117259044,4133.8211200000005,0.010063246999999999
"mp-300031784, Fe(PO3)4, LiFe(PO3)4, mp-585418, mp-31784",0.666794136,1.776666667,0.064170205,0.0,10.70588235,3.2695357489999997,7.288879372999999,0.0,0.041385545,4377.078428,0.008683787
"mp-300031785, FeP2O7, LiFeP2O7, mp-31793, mp-31785",0.892730065,1.7476666669999998,0.082123275,0.0,11.2,2.51550372,7.659610799999999,0.0,0.070355427,4340.452859,0.037785129
"mp-300031797, Fe3(PO4)4, Li3Fe3(PO4)4, mp-31810, mp-31797",0.8295568990000001,1.7262318840000002,0.073902053,0.0,11.56521739,2.3892386869999998,7.933629681,0.0,0.091767948,4313.381786,0.007391853
"mp-300031800, Fe2P3O10, LiFe2P3O10, mp-540498, mp-31800",0.9547490909999999,1.8986666669999999,0.083362622,0.0,11.8,1.883559803,8.102339688999999,0.0,0.093807236,4134.00375,0.012785119
"mp-300031806, Fe3(P3O10)2, LiFe3(P3O10)2, mp-31877, mp-31806",0.737441163,1.805402299,0.067176234,0.0,11.31034483,2.343589944,7.739834161,0.0,0.072781476,4276.420232,0.005328958000000001
"mp-300031808, Fe(PO3)4, LiFe(PO3)4, mp-540197, mp-31808",0.7669340929999999,1.776666667,0.073807365,0.0,10.70588235,3.2695357489999997,7.288879372999999,0.0,0.041385545,4377.078428,0.009987929
"mp-300031812, Fe5(P3O11)2, Li4Fe5(P3O11)2, mp-31872, mp-31812",0.876505372,1.87,0.07525536299999999,0.0,12.0,2.06066701,8.253074465,0.0,0.106599131,4133.904134,0.00524624
