,deltaz,deltaz2,deltay,anisotropyMean,deltax2,deltay2,deltax, max Anisotropy
mp-300780199,-0.0100155111896143,-0.0100155111896143,-0.0100155111896143,-0.0100155111896143,-0.0100155111896143,-0.0100155111896143,-0.0100155111896143,-0.0100155111896143
mp-300780199,-1.3943118280732951,-1.3943118280732951,-1.3943118280732951,-1.3943118280732951,-1.3943118280732951,-1.3943118280732951,-1.3943118280732951,-1.3943118280732951
mp-300780214,-0.04583997967167308,-0.04583997967167308,-0.04583997967167308,-0.04583997967167308,-0.04583997967167308,-0.04583997967167308,-0.04583997967167308,-0.04583997967167308
mp-300780216,-0.001289655664827342,-0.001289655664827342,-0.001289655664827342,-0.001289655664827342,-0.001289655664827342,-0.001289655664827342,-0.001289655664827342,-0.001289655664827342
mp-300780217,0.011789223163283385,0.011789223163283385,0.011789223163283385,0.011789223163283385,0.011789223163283385,0.011789223163283385,0.011789223163283385,0.011789223163283385
mp-300780283,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300780303,-0.04055681225662452,-0.04055681225662452,-0.04055681225662452,-0.04055681225662452,-0.04055681225662452,-0.04055681225662452,-0.04055681225662452,-0.04055681225662452
mp-300780305,0.011877296784036892,0.011877296784036892,0.011877296784036892,0.011877296784036892,0.011877296784036892,0.011877296784036892,0.011877296784036892,0.011877296784036892
mp-300780305,0.002592689859100261,0.002592689859100261,0.002592689859100261,0.002592689859100261,0.002592689859100261,0.002592689859100261,0.002592689859100261,0.002592689859100261
mp-300780308,0.03814391256427997,0.03814391256427997,0.03814391256427997,0.03814391256427997,0.03814391256427997,0.03814391256427997,0.03814391256427997,0.03814391256427997
mp-300780308,0.5021494960117348,0.5021494960117348,0.5021494960117348,0.5021494960117348,0.5021494960117348,0.5021494960117348,0.5021494960117348,0.5021494960117348
mp-300780312,0.03459334689466198,0.03459334689466198,0.03459334689466198,0.03459334689466198,0.03459334689466198,0.03459334689466198,0.03459334689466198,0.03459334689466198
mp-300780401,-0.01864091341772567,-0.01864091341772567,-0.01864091341772567,-0.01864091341772567,-0.01864091341772567,-0.01864091341772567,-0.01864091341772567,-0.01864091341772567
mp-300780435,0.007319945006893036,0.007319945006893036,0.007319945006893036,0.007319945006893036,0.007319945006893036,0.007319945006893036,0.007319945006893036,0.007319945006893036
mp-300780435,2.578528699626048e-05,2.578528699626048e-05,2.578528699626048e-05,2.578528699626048e-05,2.578528699626048e-05,2.578528699626048e-05,2.578528699626048e-05,2.578528699626048e-05
